Aguila Circle	4101	155168
Aguila Circle	4103	155169
Alazan Circle	3800	155198
Alazan Circle	3802	367057
Alazan Circle	3803	155196
Barney Drive	1405	143771
Barney Drive	1500	147390
Barney Drive	1501	147414
Barney Drive	1505	147415
Barney Drive	1509	147416
Barney Drive	1605	147111
Barney Drive	1700	147388
Barney Drive	1701	147113
Barney Drive	1801	147115
Barney Drive	1809	147116
Beaumont Street	3901	154309
Big Horn Drive	2106	143139
Big Horn Drive	2109	143185
Big Horn Drive	2205	143189
Big Horn Drive	2210	143134
Big Horn Drive	2210	143135
Big Horn Drive	2300	143131
Big Horn Drive	2301	143193
Big Horn Drive	2303	143194
Big Horn Drive	2305	143195
Big Horn Drive	2306	143128
Big Horn Drive	2307	143196
Big Horn Drive	2309	143197
Big Horn Drive	2310	143125
Big Horn Drive	2401	143199
Big Horn Drive	2403	143200
Big Horn Drive	2408	146707
Big Horn Drive	2415	834919
Big Horn Drive	2500	146706
Big Horn Drive	2505	146480
Big Horn Drive	2601	146482
Big Horn Drive	2603	146483
Big Horn Drive	2605	146484
Big Horn Drive	2607	146485
Big Horn Drive	2609	146486
Blanchard Drive	15000	784127
Blanchard Drive	15001	152011
Blanchard Drive	15003	152010
Blanchard Drive	15004	784128
Blanchard Drive	15005	152009
Blanchard Drive	15007	152008
Blanchard Drive	15008	784129
Blanchard Drive	15009	152007
Blanchard Drive	15013	152006
Blanchard Drive	15101	152003
Blanchard Drive	15103	152002
Blanchard Drive	15105	152001
Blanchard Drive	15109	152124
Blanchard Drive	15111	152123
Blanchard Drive	15201	152122
Blanchard Drive	15203	152121
Blanchard Drive	15205	152120
Blanchard Drive	15207	152119
Blanchard Drive	15209	152118
Blanchard Drive	15213	152116
Blanchard Drive	15218	154488
Blanchard Drive	15402	154455
Blue Jay Lane	3401	149417
Blue Jay Lane	3418	151926
Blue Jay Lane	3434	149387
Branding Iron Pass	14606	143510
Branding Iron Pass	14609	143262
Branding Iron Pass	14611	143261
Branding Iron Pass	14615	143608
Branding Iron Pass	14625	143603
Branding Iron Pass	14625	143604
Branding Iron Pass	14705	143482
Branding Iron Pass	14709	143480
Branding Iron Pass	14713	143478
Branding Iron Pass	14801	143477
Branding Iron Pass	14803	143476
Branding Iron Pass	14805	143475
Branding Iron Pass	14807	143474
Branding Iron Pass	14809	143473
Branding Iron Pass	14811	147303
